image_id,age_group,age,person_id
31\nm0004731_rm3256349440_1966-11-26_2015,4,49,nm0004731
76\nm0000576_rm3501037824_1960-8-17_2003,3,43,nm0000576
50\nm0149950_rm2393750016_1976-8-27_2011,2,35,nm0149950
05\nm0506405_rm4042430720_1946-12-17_2003,6,57,nm0506405
69\nm0006969_rm2159655424_1974-2-10_2006,2,32,nm0006969
47\nm1417647_rm1072339200_1977-10-26_2004,1,27,nm1417647
42\nm0004742_rm2904400640_1967-4-18_2012,4,45,nm0004742
77\nm1156977_rm3668556800_1981-3-24_2009,1,28,nm1156977
28\nm0000128_rm2001054720_1964-4-7_2012,4,48,nm0000128
43\nm0005543_rm2868559104_1973-2-7_2009,2,36,nm0005543
05\nm1183205_rm4115779328_1958-10-5_2014,6,56,nm1183205
89\nm0005489_rm2637018880_1967-11-8_2003,2,36,nm0005489
62\nm0772362_rm3446508800_1970-2-2_2006,2,36,nm0772362
46\nm0000246_rm2848961792_1955-3-19_2012,6,57,nm0000246
22\nm0000422_rm1823394048_1952-6-20_1988,2,36,nm0000422
97\nm0001797_rm3760295424_1958-11-1_1990,2,32,nm0001797
46\nm0949646_rm3829766912_1979-9-10_2005,1,26,nm0949646
50\nm0000250_rm2784462336_1969-4-25_2009,3,40,nm0000250
84\nm0295484_rm3724649216_1976-7-12_2013,2,37,nm0295484
19\nm0185819_rm80067840_1968-3-2_2011,3,43,nm0185819
55\nm0000355_rm151436032_1946-2-21_2005,6,59,nm0000355
61\nm2448361_rm1225042944_1981-2-2_2010,1,29,nm2448361
22\nm0266422_rm49644032_1974-9-19_2010,2,36,nm0266422
99\nm0664499_rm4072181248_1965-4-30_2006,3,41,nm0664499
66\nm0182666_rm1907930880_1970-7-27_2011,3,41,nm0182666
41\nm0935541_rm70040064_1984-11-28_2006,0,22,nm0935541
22\nm0183822_rm1599536384_1937-2-25_2015,9,78,nm0183822
94\nm1475594_rm1918408960_1980-4-26_2008,1,28,nm1475594
50\nm0565250_rm1158129920_1970-8-26_2010,3,40,nm0565250
16\nm0000616_rm2367797248_1956-4-18_2011,5,55,nm0000616
93\nm0000093_rm2279445760_1963-12-18_2008,4,45,nm0000093
55\nm0000155_rm590384640_1955-11-13_1996,3,41,nm0000155
44\nm0327944_rm607973888_1963-8-15_2015,5,52,nm0327944
34\nm0000234_rm676377856_1975-8-7_2012,2,37,nm0000234
68\nm0000168_rm1493482240_1948-12-21_2002,5,54,nm0000168
57\nm0132257_rm1254007552_1958-6-22_2013,5,55,nm0132257
27\nm0290227_rm2594482688_1973-5-30_2012,3,39,nm0290227
07\nm2578007_rm3521297408_1980-10-21_2011,1,31,nm2578007
22\nm0970122_rm2881728512_1978-6-29_2011,2,33,nm0970122
91\nm1117791_rm1765133568_1971-2-4_2014,3,43,nm1117791
48\nm0000148_rm3209926912_1942-7-13_1995,5,53,nm0000148
60\nm0424060_rm3302988032_1984-11-22_2008,0,24,nm0424060
34\nm0000534_rm4073825280_1957-7-9_1986,1,29,nm0000534
58\nm3812858_rm3251947520_1993-6-26_2013,0,20,nm3812858
32\nm2569832_rm2100677120_1983-12-15_2005,0,22,nm2569832
92\nm0004692_rm1528142336_1964-1-14_2000,2,36,nm0004692
63\nm0509263_rm3560093952_1973-5-22_2011,3,38,nm0509263
40\nm2358540_rm3040253696_1984-7-12_2008,0,24,nm2358540
40\nm0788340_rm2300826624_1964-9-16_2011,4,47,nm0788340
53\nm2067953_rm739621888_1987-6-27_2011,0,24,nm2067953
18\nm0854418_rm365754112_1948-2-14_2010,7,62,nm0854418
45\nm0000645_rm1852087040_1967-11-28_1994,1,27,nm0000645
62\nm1015262_rm2411637760_1986-4-9_2007,0,21,nm1015262
77\nm0799777_rm2214785536_1955-1-9_2015,6,60,nm0799777
49\nm0000549_rm114150400_1927-10-14_1981,5,54,nm0000549
67\nm1473267_rm2901662720_1991-6-18_2012,0,21,nm1473267
96\nm1591496_rm2265625088_1976-8-26_2011,2,35,nm1591496
64\nm0460964_rm2632121344_1968-11-29_2015,4,47,nm0460964
95\nm0004395_rm4042896640_1973-4-3_2013,3,40,nm0004395
97\nm1601397_rm3735520000_1980-7-3_2009,1,29,nm1601397
16\nm0515116_rm3000603648_1987-8-25_2007,0,20,nm0515116
17\nm0005017_rm1660197120_1978-12-18_2005,1,27,nm0005017
38\nm0629538_rm714247168_1980-4-24_2004,0,24,nm0629538
77\nm0663177_rm1372227584_1967-2-5_2006,3,39,nm0663177
51\nm6655651_rm48561408_1984-6-13_2015,1,31,nm6655651
21\nm0000621_rm3554139648_1951-3-17_2013,7,62,nm0000621
09\nm0552509_rm1219664128_1969-1-18_1990,0,21,nm0552509
30\nm1164730_rm3402014976_1984-11-1_2011,1,27,nm1164730
59\nm0696059_rm398957312_1980-3-7_2002,0,22,nm0696059
63\nm0000163_rm3375405056_1937-8-8_2004,7,67,nm0000163
64\nm0796864_rm996579840_1969-6-8_2005,2,36,nm0796864
24\nm0000624_rm3144337664_1962-11-14_1997,2,35,nm0000624
90\nm0004790_rm1138882816_1976-8-23_2010,2,34,nm0004790
07\nm0993507_rm4039553536_1986-6-13_2011,0,25,nm0993507
86\nm0690186_rm104240128_1969-11-10_2005,2,36,nm0690186
41\nm2374841_rm2189735680_1987-3-19_2011,0,24,nm2374841
26\nm2057726_rm1753067008_1988-11-8_2008,0,20,nm2057726
68\nm1175468_rm2104017664_1983-5-8_2014,1,31,nm1175468
38\nm1443238_rm889361408_1975-3-15_2008,2,33,nm1443238
94\nm0000194_rm240422400_1960-12-3_2010,5,50,nm0000194
13\nm0000113_rm2002426112_1964-7-26_1995,1,31,nm0000113
21\nm0000421_rm3818173696_1968-1-2_2012,4,44,nm0000421
50\nm0001650_rm3458397696_1970-3-20_2010,3,40,nm0001650
12\nm0004812_rm1952815872_1951-7-24_2005,5,54,nm0004812
37\nm1767737_rm2644703232_1984-10-5_2014,1,30,nm1767737
35\nm0262635_rm706656000_1981-6-13_2012,1,31,nm0262635
75\nm0171475_rm25550080_1928-12-10_1966,3,38,nm0171475
98\nm0101198_rm153199616_1968-7-18_2013,4,45,nm0101198
50\nm0564350_rm2216675840_1965-5-23_2010,4,45,nm0564350
73\nm0462673_rm3338576384_1973-3-8_2013,3,40,nm0462673
79\nm0316079_rm3368726528_1967-6-6_2012,4,45,nm0316079
86\nm0001786_rm2077868544_1937-4-20_2010,8,73,nm0001786
26\nm0000126_rm1636160512_1955-1-18_2014,6,59,nm0000126
46\nm1031246_rm455457536_1975-11-1_2006,1,31,nm1031246
82\nm0000982_rm3038620672_1968-2-12_2013,4,45,nm0000982
58\nm0001458_rm2841888512_1926-4-30_1974,4,48,nm0001458
74\nm0174374_rm1303878400_1955-10-22_2006,5,51,nm0174374
13\nm1645313_rm1069992448_1984-10-17_2014,1,30,nm1645313
43\nm0221043_rm546811648_1976-10-11_2005,1,29,nm0221043
44\nm0001644_rm3792012288_1959-3-8_1993,2,34,nm0001644
72\nm0702572_rm3856901888_1979-5-22_2010,1,31,nm0702572
27\nm0233027_rm1557840384_1957-8-19_2014,6,57,nm0233027
05\nm0425005_rm4041903872_1972-5-2_2010,3,38,nm0425005
65\nm0614165_rm3100689664_1976-5-25_2013,2,37,nm0614165
04\nm0043704_rm3418609408_1975-5-26_2013,3,38,nm0043704
06\nm0834606_rm1346407168_1967-6-24_1994,1,27,nm0834606
07\nm0993507_rm26008832_1986-6-13_2013,1,27,nm0993507
56\nm1812656_rm1524283136_1979-4-15_2012,2,33,nm1812656
12\nm2064412_rm2714876672_1988-4-21_2008,0,20,nm2064412
53\nm0000553_rm620665088_1952-6-7_2006,5,54,nm0000553
14\nm0001114_rm2921043968_1955-4-23_2001,4,46,nm0001114
55\nm0001755_rm1886439424_1946-10-16_1991,4,45,nm0001755
11\nm0000111_rm2106950144_1962-3-21_2010,4,48,nm0000111
25\nm0001125_rm850364672_1967-2-19_2010,3,43,nm0001125
86\nm0690186_rm1419759616_1969-11-10_2005,2,36,nm0690186
02\nm2966102_rm3125916160_1979-5-19_2012,2,33,nm2966102
73\nm0000473_rm1341637120_1946-1-5_2014,8,68,nm0000473
83\nm0707983_rm4042424576_1974-5-17_2010,2,36,nm0707983
27\nm1533927_rm2854913792_1976-8-24_2010,2,34,nm1533927
95\nm0004395_rm3908678912_1973-4-3_2013,3,40,nm0004395
17\nm0005017_rm3765344768_1978-12-18_2007,1,29,nm0005017
17\nm0000317_rm3541490688_1959-1-5_2012,5,53,nm0000317
79\nm1078479_rm2803400704_1977-4-23_2010,2,33,nm1078479
55\nm0001455_rm2503072768_1967-7-25_1994,1,27,nm0001455
03\nm1508003_rm1129174528_1979-7-10_2013,2,34,nm1508003
73\nm0000273_rm3134888192_1934-3-26_2001,7,67,nm0000273
40\nm0164540_rm3722240_1940-3-8_1968,1,28,nm0164540
68\nm1616668_rm1507508736_1979-9-22_2014,2,35,nm1616668
75\nm0731575_rm1577552896_1984-4-2_2010,1,26,nm0731575
59\nm0004959_rm3400381952_1962-7-3_2005,3,43,nm0004959
06\nm0198306_rm835488768_1966-2-14_2010,4,44,nm0198306
63\nm0566363_rm791184128_1973-10-1_2010,2,37,nm0566363
29\nm0477129_rm1426164224_1957-8-17_2009,5,52,nm0477129
92\nm0005392_rm1467715328_1976-3-23_2009,2,33,nm0005392
96\nm0015196_rm3237979904_1978-5-12_2013,2,35,nm0015196
10\nm0333410_rm989108992_1978-7-12_2007,1,29,nm0333410
64\nm0005164_rm1311409920_1957-11-1_2009,5,52,nm0005164
96\nm0385296_rm24353280_1981-2-17_2005,0,24,nm0385296
39\nm0000239_rm1100591104_1977-7-1_2004,1,27,nm0000239
94\nm0908094_rm1811912960_1973-9-12_2005,2,32,nm0908094
57\nm0728757_rm1511299584_1977-1-20_2001,0,24,nm0728757
86\nm3841486_rm352101120_1981-12-5_2013,2,32,nm3841486
63\nm0749263_rm2147851008_1967-11-22_2003,2,36,nm0749263
45\nm0001845_rm1999616768_1961-7-15_2011,5,50,nm0001845
27\nm1130627_rm1516615936_1982-4-3_2005,0,23,nm1130627
90\nm0000190_rm304462080_1969-11-4_2001,2,32,nm0000190
69\nm0663469_rm162264832_1977-7-15_2011,2,34,nm0663469
81\nm0329481_rm118466048_1978-5-22_2011,2,33,nm0329481
97\nm0001597_rm27974912_1952-11-30_2011,6,59,nm0001597
80\nm0001880_rm3023146496_1952-10-8_1996,4,44,nm0001880
47\nm0000347_rm3443232256_1946-4-19_1996,5,50,nm0000347
52\nm0005552_rm2287376896_1961-6-7_2001,3,40,nm0005552
59\nm1738059_rm497520384_1987-1-5_2010,0,23,nm1738059
40\nm0113140_rm721852416_1969-2-5_1996,1,27,nm0113140
22\nm0237222_rm3627130112_1966-2-22_2005,3,39,nm0237222
49\nm0000549_rm3462104320_1927-10-14_1981,5,54,nm0000549
36\nm0000836_rm3030945280_1954-10-9_2009,5,55,nm0000836
86\nm0100186_rm2655187968_1917-7-27_1970,5,53,nm0100186
80\nm0671980_rm2882381568_1977-4-23_2013,2,36,nm0671980
52\nm0348152_rm1892081152_1968-8-11_2008,3,40,nm0348152
55\nm0004755_rm2158868992_1978-5-12_2011,2,33,nm0004755
66\nm1209966_rm2563949568_1980-3-9_2014,2,34,nm1209966
17\nm0005017_rm2073924608_1978-12-18_2008,1,30,nm0005017
72\nm0137272_rm1358207744_1960-5-19_2005,4,45,nm0137272
30\nm2851530_rm3466059264_1986-2-6_2013,1,27,nm2851530
51\nm0000151_rm2050018304_1937-6-1_1989,5,52,nm0000151
30\nm0137030_rm576029696_1935-12-11_1974,3,39,nm0137030
74\nm0435074_rm1396411904_1964-11-22_1994,1,30,nm0435074
95\nm0005295_rm795122176_1969-10-19_1999,1,30,nm0005295
70\nm0002070_rm288656896_1920-9-1_1984,7,64,nm0002070
01\nm0306201_rm1682083072_1973-4-28_2004,1,31,nm0306201
33\nm1426233_rm4292254464_1978-12-25_2004,1,26,nm1426233
95\nm0682495_rm715578880_1963-12-8_2012,4,49,nm0682495
45\nm0642145_rm3598296576_1946-4-12_2009,7,63,nm0642145
87\nm0330687_rm1053011968_1981-2-17_2011,1,30,nm0330687
00\nm0421300_rm3674266624_1935-5-8_1993,6,58,nm0421300
87\nm0913587_rm32148992_1982-7-23_2009,1,27,nm0913587
76\nm0000676_rm13679104_1972-8-31_1995,0,23,nm0000676
60\nm0726360_rm3866724864_1978-8-24_2008,1,30,nm0726360
37\nm0004937_rm1986894336_1967-12-13_2000,2,33,nm0004937
88\nm1433588_rm1093991424_1973-3-24_2015,3,42,nm1433588
21\nm0000621_rm132553472_1951-3-17_1998,4,47,nm0000621
81\nm0305081_rm710575360_1973-6-1_2004,1,31,nm0305081
30\nm0124930_rm1510903552_1969-11-13_2010,3,41,nm0124930
63\nm3467663_rm2617812480_1989-5-29_2012,0,23,nm3467663
94\nm0246994_rm4281383168_1957-12-12_2002,4,45,nm0246994
00\nm0000800_rm1108381184_1949-10-4_1992,3,43,nm0000800
32\nm0000232_rm1445572608_1958-3-10_1994,2,36,nm0000232
11\nm1988111_rm2841097728_1980-10-24_2011,1,31,nm1988111
73\nm0001073_rm3835791360_1964-6-15_2009,4,45,nm0001073
01\nm0000501_rm1705544960_1954-12-18_2007,5,53,nm0000501
51\nm0864851_rm2743127552_1917-3-23_1974,6,57,nm0864851
18\nm0000218_rm911848192_1960-5-24_2008,4,48,nm0000218
63\nm0005363_rm2907754240_1968-9-10_2014,4,46,nm0005363
72\nm1128572_rm2593623808_1979-3-24_2010,1,31,nm1128572
28\nm0005428_rm878877184_1952-7-14_2007,5,55,nm0005428
38\nm0011038_rm2431424768_1965-4-1_2000,2,35,nm0011038
61\nm1036361_rm3495139840_1971-9-8_2005,2,34,nm1036361
70\nm0260870_rm2719909888_1964-7-14_2009,4,45,nm0260870
54\nm0005154_rm3951742464_1968-12-2_2012,4,44,nm0005154
03\nm0001303_rm3505765120_1971-8-29_2011,3,40,nm0001303
98\nm2849998_rm2350089984_1989-9-25_2010,0,21,nm2849998
91\nm0000191_rm57146368_1971-3-31_2014,3,43,nm0000191
29\nm0000229_rm2970720768_1946-12-18_2006,6,60,nm0000229
29\nm0000929_rm3426258432_1954-9-7_1994,3,40,nm0000929
43\nm0005443_rm3677783552_1951-9-13_2010,6,59,nm0005443
18\nm0001618_rm1528866304_1974-10-28_2013,3,39,nm0001618
51\nm0584951_rm1229160960_1986-8-29_2009,0,23,nm0584951
39\nm0000439_rm3694308352_1973-6-15_2005,2,32,nm0000439
55\nm0001455_rm3879721984_1967-7-25_1994,1,27,nm0001455
97\nm0001497_rm2311890688_1975-6-27_2013,3,38,nm0001497
15\nm1297015_rm2209784576_1988-11-6_2013,0,25,nm1297015
99\nm0214299_rm2882504704_1976-10-23_2005,1,29,nm0214299
40\nm1954240_rm2756805376_1986-2-26_2010,0,24,nm1954240
31\nm0005531_rm2918038016_1969-8-17_2010,3,41,nm0005531
55\nm0420955_rm985633792_1947-5-4_2008,6,61,nm0420955
71\nm0319171_rm2740963840_1976-3-14_2013,2,37,nm0319171
70\nm0004770_rm3514206464_1969-5-16_2009,3,40,nm0004770
64\nm0000664_rm1413058048_1952-8-18_1993,3,41,nm0000664
73\nm0004873_rm4128946176_1965-12-21_2002,2,37,nm0004873
66\nm0000166_rm456186880_1963-6-15_1994,1,31,nm0000166
54\nm0001954_rm1312345088_1931-2-15_1969,3,38,nm0001954
16\nm0000316_rm3585573120_1926-6-28_1974,4,48,nm0000316
20\nm1738420_rm1831849472_1983-10-10_2014,1,31,nm1738420
89\nm2803689_rm3376334336_1982-4-19_2012,1,30,nm2803689
90\nm0595590_rm102160896_1961-11-18_2010,4,49,nm0595590
28\nm0432428_rm2338437376_1981-10-30_2011,1,30,nm0432428
54\nm0004754_rm1181332224_1982-3-3_2011,1,29,nm0004754
33\nm0243233_rm2049611264_1976-12-7_2008,2,32,nm0243233
10\nm0000610_rm2045028096_1974-12-17_2013,3,39,nm0000610
00\nm0547800_rm2408751104_1968-12-19_2012,4,44,nm0547800
59\nm0301959_rm3574696192_1975-4-30_2009,2,34,nm0301959
95\nm0891895_rm505321472_1976-1-2_2004,1,28,nm0891895
58\nm0000658_rm3929852928_1949-6-22_1979,1,30,nm0000658
07\nm1260407_rm2117249536_1979-6-28_2012,2,33,nm1260407
01\nm0001701_rm124885504_1978-9-7_1998,0,20,nm0001701
22\nm1973422_rm3591537920_1988-11-20_2011,0,23,nm1973422
61\nm0001061_rm1174569472_1973-12-3_2010,2,37,nm0001061
04\nm0662504_rm3492843008_1972-6-30_1996,0,24,nm0662504
76\nm1517976_rm2758511104_1980-8-26_2009,1,29,nm1517976
86\nm0000686_rm2563736832_1943-3-31_2011,8,68,nm0000686
62\nm0255362_rm1844361216_1971-4-19_2011,3,40,nm0255362
73\nm0001173_rm814909696_1968-3-12_2009,3,41,nm0001173
06\nm1980806_rm2649732864_1965-6-29_2007,3,42,nm1980806
04\nm0544104_rm3848703232_1970-9-5_2000,1,30,nm0544104
99\nm0000199_rm748915968_1940-4-25_2010,8,70,nm0000199
55\nm0757855_rm1896779520_1978-6-19_2010,2,32,nm0757855
38\nm0001838_rm1774228992_1970-3-7_2008,3,38,nm0001838
27\nm1130627_rm1253160960_1982-4-3_2005,0,23,nm1130627
30\nm2851530_rm1332334848_1986-2-6_2014,1,28,nm2851530
74\nm0004874_rm808685056_1967-7-18_2000,2,33,nm0004874
45\nm0001845_rm584355328_1961-7-15_2009,4,48,nm0001845
86\nm0251986_rm531465728_1983-10-5_2010,1,27,nm0251986
88\nm0004988_rm2490021376_1977-11-24_2011,2,34,nm0004988
79\nm0562679_rm1445367552_1944-5-19_1977,2,33,nm0562679
96\nm2314596_rm3599760384_1993-8-18_2013,0,20,nm2314596
13\nm0226813_rm3460411904_1964-11-24_2010,4,46,nm0226813
55\nm0001455_rm4159495424_1967-7-25_1994,1,27,nm0001455
58\nm0000658_rm1164294656_1949-6-22_2007,6,58,nm0000658
04\nm0000404_rm1384369664_1937-12-21_1977,3,40,nm0000404
41\nm0000741_rm1201582080_1953-6-13_2002,4,49,nm0000741
83\nm1269983_rm2256797184_1981-12-16_2014,2,33,nm1269983
75\nm0032375_rm516200704_1978-12-7_2002,0,24,nm0032375
04\nm0000204_rm2374997504_1981-6-9_2008,1,27,nm0000204
12\nm0000112_rm1629720064_1953-5-16_1992,3,39,nm0000112
39\nm0668139_rm2290393088_1988-4-25_2013,0,25,nm0668139
20\nm1556320_rm490143488_1986-11-25_2015,1,29,nm1556320
16\nm0358316_rm2366349568_1971-3-10_2007,2,36,nm0358316
96\nm2371196_rm1007604480_1982-2-24_2010,1,28,nm2371196
34\nm1517834_rm3966548736_1972-8-14_2003,1,31,nm1517834
05\nm0425005_rm3163392768_1972-5-2_2009,2,37,nm0425005
15\nm0502015_rm4191270912_1964-11-16_2009,4,45,nm0502015
46\nm0437646_rm2055518208_1972-4-8_2011,3,39,nm0437646
07\nm0000207_rm3658582272_1980-2-12_2009,1,29,nm0000207
77\nm0001877_rm2736232960_1957-9-12_2006,4,49,nm0001877
62\nm0915762_rm507762432_1968-7-8_2003,2,35,nm0915762
45\nm0000145_rm3049053440_1965-2-1_1990,0,25,nm0000145
93\nm0001993_rm2219083520_1966-11-23_2010,4,44,nm0001993
19\nm0000619_rm2920122624_1961-5-14_2009,4,48,nm0000619
67\nm2215967_rm2536752128_1990-11-17_2013,0,23,nm2215967
76\nm0005476_rm2749992448_1974-7-30_2009,2,35,nm0005476
80\nm0568180_rm1800124160_1966-2-13_2010,4,44,nm0568180
76\nm0311476_rm1776330496_1961-9-14_2012,5,51,nm0311476
55\nm0000255_rm3781270272_1972-8-15_2007,2,35,nm0000255
59\nm2057859_rm4198150400_1981-11-20_2012,1,31,nm2057859
04\nm1322404_rm3305952512_1942-6-8_2012,8,70,nm1322404
72\nm0001472_rm2512754944_1963-4-26_2007,4,44,nm0001472
14\nm0001814_rm1259838208_1952-7-24_2002,5,50,nm0001814
53\nm2067953_rm770700288_1987-6-27_2015,1,28,nm2067953
60\nm0000160_rm2026489088_1970-11-6_2013,3,43,nm0000160
87\nm0001287_rm221878784_1970-1-29_2001,1,31,nm0001287
18\nm0916518_rm3524525056_1978-9-20_2014,2,36,nm0916518
07\nm0281107_rm4119505920_1965-7-3_2008,3,43,nm0281107
16\nm0000216_rm1347587072_1947-7-30_2003,6,56,nm0000216
55\nm1238555_rm2312937472_1980-9-7_2012,2,32,nm1238555
21\nm1752221_rm2383019776_1984-7-30_2015,1,31,nm1752221
39\nm0001339_rm2670104064_1958-11-16_1994,2,36,nm0001339
70\nm0000870_rm1474271232_1948-6-28_2005,6,57,nm0000870
05\nm0000205_rm4271815680_1968-11-8_2010,3,42,nm0000205
10\nm0950510_rm2595737344_1969-11-28_2014,4,45,nm0950510
00\nm0194900_rm1895874304_1980-4-17_2011,1,31,nm0194900
47\nm0037247_rm3160836352_1958-3-13_2008,5,50,nm0037247
80\nm0005280_rm837336576_1962-3-21_1999,2,37,nm0005280
64\nm0001764_rm833723136_1963-8-19_2003,3,40,nm0001764
62\nm0001162_rm1548982784_1955-6-8_2005,5,50,nm0001162
38\nm0085438_rm13211648_1971-8-12_2005,2,34,nm0085438
00\nm2003700_rm968339712_1985-7-18_2007,0,22,nm2003700
07\nm0910607_rm1790682880_1956-10-4_2013,6,57,nm0910607
09\nm1137209_rm2519332096_1985-9-22_2013,1,28,nm1137209
05\nm0425005_rm4276784896_1972-5-2_2010,3,38,nm0425005
77\nm1009277_rm185839616_1975-1-2_2010,2,35,nm1009277
86\nm0690186_rm175810048_1969-11-10_2005,2,36,nm0690186
81\nm1568881_rm2845154048_1984-6-30_2006,0,22,nm1568881
66\nm0615266_rm2924920064_1977-11-15_2003,1,26,nm0615266
38\nm1559338_rm806996992_1978-8-24_2013,2,35,nm1559338
48\nm1157048_rm1578473472_1980-9-29_2007,1,27,nm1157048
43\nm0519043_rm1897369088_1978-6-2_2009,1,31,nm0519043
53\nm0350453_rm4086816256_1980-12-19_2013,2,33,nm0350453
59\nm0319659_rm3971454976_1959-6-24_1997,3,38,nm0319659
20\nm0517820_rm3769078784_1986-7-2_2006,0,20,nm0517820
38\nm1501738_rm3652560640_1985-2-17_2013,1,28,nm1501738
84\nm0145284_rm3721903104_1940-1-14_1986,4,46,nm0145284
26\nm1640326_rm783282176_1981-7-19_2015,2,34,nm1640326
50\nm0004950_rm3967207424_1972-4-17_2001,1,29,nm0004950
17\nm0089217_rm1305185280_1977-1-13_2005,1,28,nm0089217
35\nm0604335_rm2161243136_1953-8-19_2015,7,62,nm0604335
16\nm0376716_rm2449256192_1975-5-3_2012,2,37,nm0376716
85\nm0655585_rm413444864_1982-7-19_2005,0,23,nm0655585
37\nm0803037_rm20755456_1974-8-14_2011,2,37,nm0803037
90\nm0885090_rm3257832448_1964-12-24_2008,4,44,nm0885090
87\nm2223487_rm2448657152_1962-8-15_2006,4,44,nm2223487
73\nm0005273_rm44039680_1972-6-28_2014,3,42,nm0005273
87\nm0330687_rm641576704_1981-2-17_2012,1,31,nm0330687
82\nm0001082_rm3751909632_1968-7-8_1996,1,28,nm0001082
93\nm0000193_rm2939341824_1962-11-11_1996,2,34,nm0000193
50\nm1154650_rm727030528_1980-4-25_2006,1,26,nm1154650
22\nm1212722_rm526638848_1976-7-19_2013,2,37,nm1212722
40\nm5902240_rm351395072_1989-5-16_2013,0,24,nm5902240
67\nm0086867_rm3795766272_1945-8-24_1984,3,39,nm0086867
34\nm0000234_rm3991515136_1975-8-7_2011,2,36,nm0000234
22\nm0736622_rm3043986176_1982-4-15_2009,1,27,nm0736622
40\nm0164540_rm3660032768_1940-3-8_1983,3,43,nm0164540
11\nm0000211_rm1796512256_1956-1-27_2000,4,44,nm0000211
13\nm0171513_rm358855424_1958-5-26_2007,4,49,nm0171513
98\nm2471798_rm531005696_1981-4-30_2007,1,26,nm2471798
53\nm0601553_rm2024642816_1984-4-10_2007,0,23,nm0601553
87\nm0001287_rm1356896000_1970-1-29_2008,3,38,nm0001287
46\nm0001446_rm310167552_1936-10-31_1984,4,48,nm0001446
75\nm0010075_rm2199761920_1978-3-1_2005,1,27,nm0010075
64\nm0920564_rm1448140288_1942-3-30_2013,8,71,nm0920564
18\nm0009918_rm1761848832_1976-12-5_2011,2,35,nm0009918
98\nm0000098_rm737008896_1969-2-11_1994,0,25,nm0000098
31\nm2251731_rm3604069120_1982-7-13_2011,1,29,nm2251731
13\nm0277213_rm638760704_1971-3-27_2009,3,38,nm0277213
75\nm0716275_rm999997184_1970-11-30_2011,3,41,nm0716275
61\nm1635061_rm143688960_1967-10-6_2010,3,43,nm1635061
48\nm0000148_rm389135104_1942-7-13_1980,3,38,nm0000148
22\nm0000422_rm3340930560_1952-6-20_1991,3,39,nm0000422
48\nm0000148_rm1798412800_1942-7-13_2002,6,60,nm0000148
05\nm1476805_rm1562286080_1982-5-22_2005,0,23,nm1476805
93\nm1106793_rm1931990784_1961-11-16_2014,5,53,nm1106793
31\nm0567031_rm466157056_1968-8-17_2014,4,46,nm0567031
91\nm1089991_rm4180844800_1981-2-9_2013,2,32,nm1089991
97\nm0004997_rm3369126144_1976-4-18_2010,2,34,nm0004997
22\nm0000222_rm1754238208_1965-5-31_2010,4,45,nm0000222
44\nm0400744_rm1589875200_1971-9-16_2006,2,35,nm0400744
